"Bronx Rolling Sales File.  All Sales From July 2015 - June 2016.",,,,,,,,,,,,,,,,,,,,
"Sales File as of 6/30/2016  Co-op Sales Files as of 7/2/2016",,,,,,,,,,,,,,,,,,,,
"Neighborhood Names and Descriptive Data as of 5/26/2016",,,,,,,,,,,,,,,,,,,,
"Building Class Category is based on Building Class at Time of Sale.",,,,,,,,,,,,,,,,,,,,
"BOROUGH","NEIGHBORHOOD","BUILDING CLASS CATEGORY","TAX CLASS AT PRESENT","BLOCK","LOT","EASE-MENT","BUILDING CLASS AT PRESENT","ADDRESS","APARTMENT NUMBER","ZIP CODE","RESIDENTIAL UNITS","COMMERCIAL UNITS","TOTAL UNITS","LAND SQUARE FEET","GROSS SQUARE FEET","YEAR BUILT","TAX CLASS AT TIME OF SALE","BUILDING CLASS AT TIME OF SALE","SALE PRICE","SALE DATE"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3035","140"," ","B1","1983 WASHINGTON AVENUE                   ","            ","10457","2","0","2","4124","2340","1998","1","B1","228000","11-16-15"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3039","30"," ","B1","469B EAST 184 STREET                     ","            ","10458","2","0","2","741","2845","2006","1","B1","0","10-13-15"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3039","30"," ","B1","469B EAST 184 STREET                     ","            ","10458","2","0","2","741","2845","2006","1","B1","311298","09-11-15"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3045","4"," ","B1","2034 BATHGATE AVENUE                     ","            ","10457","2","0","2","1575","1710","1998","1","B1","0","09-09-15"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3046","7"," ","B2","2038 WASHINGTON AVENUE                   ","            ","10457","2","0","2","3732","2901","2000","1","B2","0","04-13-16"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3048","29"," ","S2","542 EAST 182 STREET                      ","            ","10457","2","1","3","1612","2778","1901","1","S2","0","03-22-16"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3050","85"," ","B1","2241 BATHGATE AVENUE                     ","            ","10457","2","0","2","1562","3382","2004","1","B1","430000","02-03-16"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3050","93"," ","B2","2238 BASSFORD AVENUE                     ","            ","10457","2","0","2","1301","2300","1901","1","B2","495000","04-13-16"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3050","93"," ","B2","2238 BASSFORD AVENUE                     ","            ","10457","2","0","2","1301","2300","1901","1","B2","261000","09-25-15"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3053","109"," ","B3","2315 BASSFORD AVENUE                     ","            ","10458","2","0","2","1202","2949","1901","1","B3","480000","03-17-16"
"2","BATHGATE                 ","02  TWO FAMILY DWELLINGS                    ","1","3053","109"," ","B3","2315 BASSFORD AVENUE                     ","            ","10458","2","0","2","1202","2949","1901","1","B3","232215","08-18-15"
"2","BATHGATE                 ","03  THREE FAMILY DWELLINGS                  ","1","3038","126"," ","C0","470 EAST 183RD STREET                    ","            ","10458","3","0","3","1278","2955","2004","1","C0","0","10-21-15"
"2","BATHGATE                 ","03  THREE FAMILY DWELLINGS                  ","1","3047","29"," ","C0","2108 BATHGATE AVE                        ","            ","10457","3","0","3","1650","4422","2005","1","C0","450000","02-01-16"
"2","BATHGATE                 ","03  THREE FAMILY DWELLINGS                  ","1","3047","29"," ","C0","2108 BATHGATE AVENUE                     ","            ","10457","3","0","3","1650","4422","2005","1","C0","0","09-09-15"
"2","BATHGATE                 ","03  THREE FAMILY DWELLINGS                  ","1","3047","29"," ","C0","2108 BATHGATE                            ","            ","10457","3","0","3","1650","4422","2005","1","C0","452000","09-09-15"
"2","BATHGATE                 ","03  THREE FAMILY DWELLINGS                  ","1","3053","120"," ","C0","504 EAST 184 STREET                      ","            ","10458","3","0","3","1334","3915","2005","1","C0","431550","11-25-15"
"2","BATHGATE                 ","03  THREE FAMILY DWELLINGS                  ","1","3053","121"," ","C0","506 EAST 184 STREET                      ","            ","10458","3","0","3","1269","3915","2005","1","C0","351000","05-11-16"
"2","BATHGATE                 ","03  THREE FAMILY DWELLINGS                  ","1","3053","122"," ","C0","508 EAST 184TH STREET                    ","            ","10458","3","0","3","1269","3915","2005","1","C0","457314","09-04-15"
"2","BATHGATE                 ","05  TAX CLASS 1 VACANT LAND                 ","1B","2912","161"," ","V3","CLAREMONT PARKWAY                        ","            ","10457","0","0","0","29400","0","0","1","V3","75000","12-23-15"
"2","BATHGATE                 ","05  TAX CLASS 1 VACANT LAND                 ","1B","3050","78"," ","V0","BATHGATE AVENUE                          ","            ","10457","0","0","0","2025","0","0","1","V0","0","11-27-15"
"2","BATHGATE                 ","06  TAX CLASS 1 - OTHER                     ","1","3050","100"," ","G0","2250 BASSFORD                            ","            ","10457","0","0","0","2616","0","1950","1","G0","275000","03-17-16"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2","2912","1"," ","C7","481 EAST 171 STREET                      ","            ","10457","13","2","15","2964","13685","1925","2","C7","0","02-22-16"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2","2912","2"," ","C1","1514 WASHINGTON AVENUE                   ","            ","10457","11","0","11","2600","11784","1925","2","C1","0","02-22-16"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2B","2924","6"," ","C1","1874 BATHGATE AVENUE                     ","            ","10457","7","0","7","1628","5184","1931","2","C1","675000","04-26-16"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2","2927","54"," ","C1","1473 FULTON AVENUE                       ","            ","10456","20","0","20","5625","22500","1912","2","C1","3682769","03-01-16"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2B","3031","19"," ","C1","2338 WEBSTER AVE                         ","            ","10458","8","0","8","3002","8884","1931","2","C1","1075000","04-15-16"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2","3031","60"," ","C1","4589 PARK AVENUE                         ","            ","10458","25","0","25","4779","18975","1912","2","C1","3443023","03-01-16"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2","3031","63"," ","C1","4585 PARK AVENUE                         ","            ","10458","25","0","25","4787","18975","1912","2","C1","3364440","03-01-16"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2B","3032","3"," ","C1","2408 WEBSTER AVENUE                      ","            ","10458","8","0","8","3441","9240","1909","2","C1","1150000","09-01-15"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2B","3032","6"," ","C7","2420 WEBSTER AVENUE                      ","            ","10458","8","1","9","4444","9333","1909","2","C7","1150000","09-01-15"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2B","3032","53"," ","C1","4687 PARK AVE                            ","            ","10458","8","0","8","4025","9600","1910","2","C1","0","05-31-16"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2B","3032","58"," ","C7","413 EAST 187 STREET                      ","            ","10458","7","1","8","3325","8800","1910","2","C7","1270000","05-16-16"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2B","3035","23"," ","C1","446 E 179 STREET                         ","            ","10457","8","0","8","2805","8712","1910","2","C1","850000","03-14-16"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2","3040","7"," ","C7","444 EAST 187 STREET                      ","            ","10458","28","2","30","5000","22500","1926","2","C7","4608457","03-01-16"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2","3041","1"," ","C7","441 EAST 187 STREET                      ","            ","10458","18","2","20","3400","15300","1910","2","C7","3103383","03-01-16"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2B","3050","102"," ","C1","2254 BASSFORD AVENUE                     ","            ","10457","8","0","8","2727","8820","1910","2","C1","0","04-06-16"
"2","BATHGATE                 ","07  RENTALS - WALKUP APARTMENTS             ","2","3051","24"," ","C7","2280 BATHGATE AVENUE                     ","            ","10457","20","1","21","9464","16825","1911","2","C7","0","04-06-16"
"2","BATHGATE                 ","08  RENTALS - ELEVATOR APARTMENTS           ","2","2903","3"," ","D9","445 EAST 171 STREET                      ","            ","10457","46","0","46","12520","45046","2001","2","D9","1982283","03-08-16"
"2","BATHGATE                 ","08  RENTALS - ELEVATOR APARTMENTS           ","2","3050","76"," ","D1","2265 BATHGATE AVENUE                     ","            ","10457","17","0","17","4088","16086","2012","2","D1","0","11-27-15"
"2","BATHGATE                 ","10  COOPS - ELEVATOR APARTMENTS             ","2","3035","48"," ","D4","463 EAST 178TH STREET, 5B                ","            ","10457","0","0","0","0","0","1935","2","D4","35000","10-23-15"
"2","BATHGATE                 ","14  RENTALS - 4-10 UNIT                     ","2B","3052","27"," ","S9","2324 BATHGATE AVE                        ","            ","10458","4","3","7","2390","6000","1931","2","S9","708000","03-14-16"
"2","BATHGATE                 ","21  OFFICE BUILDINGS                        ","4","2919","50"," ","O7","505 CLAREMONT PARKWAY                    ","            ","10457","0","1","1","1826","1728","1930","4","O7","0","11-18-15"
"2","BATHGATE                 ","21  OFFICE BUILDINGS                        ","4","3043","8"," ","O5","1932 WASHINGTON AVENUE                   ","            ","10457","0","1","1","4525","18000","1931","4","O5","2650000","12-07-15"
"2","BATHGATE                 ","22  STORE BUILDINGS                         ","4","3028","3"," ","V1","1973 WEBSTER AVENUE                      ","            ","10457","0","2","2","17637","0","1930","4","K2","2800000","11-16-15"
"2","BATHGATE                 ","22  STORE BUILDINGS                         ","4","3030","145"," ","K1","2252 WEBSTER AVENUE                      ","            ","10457","0","3","3","6480","5750","1913","4","K1","1600000","08-03-15"
"2","BATHGATE                 ","22  STORE BUILDINGS                         ","4","3032","29"," ","K1","2472 WEBSTER AVENUE                      ","            ","10458","0","1","1","1546","750","1931","4","K1","0","03-03-16"
"2","BATHGATE                 ","22  STORE BUILDINGS                         ","4","3039","21"," ","K1","2345 WASHINGTON AVENUE                   ","            ","10458","0","1","1","4239","4239","1931","4","K1","1350000","08-11-15"
"2","BATHGATE                 ","22  STORE BUILDINGS                         ","4","3053","28"," ","K1","510 EAST 185 STREET                      ","            ","10458","0","1","1","21425","21250","1963","4","K1","4000000","07-28-15"
"2","BATHGATE                 ","27  FACTORIES                               ","4","2918","34"," ","F9","1869 BATHGATE AVENUE                     ","            ","10457","0","1","1","16682","16632","2001","4","F9","1400000","12-30-15"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3029","26"," ","G2","2090 WEBSTER AVENUE                      ","            ","10457","0","1","1","4360","1200","1996","4","G2","575000","10-20-15"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3031","54"," ","G7","4607 PARK AVENUE                         ","            ","10458","0","0","0","3954","0","0","4","G7","2150000","03-22-16"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3031","56"," ","G7","4603 PARK AVENUE                         ","            ","10458","0","0","0","3882","0","0","4","G7","0","03-22-16"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3031","57"," ","G7","N/A PARK AVENUE                          ","            ","10458","0","0","0","3817","0","1912","4","G7","0","03-22-16"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3031","59"," ","G7","N/A PARK AVENUE                          ","            ","10458","0","0","0","3745","0","0","4","G7","0","03-22-16"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3032","27"," ","G7","2470 WEBSTER AVENUE                      ","            ","10458","0","0","0","2053","0","0","4","G7","1300000","03-03-16"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3032","129"," ","G7","406 EAST 189 STREET                      ","            ","10458","0","0","0","1040","0","0","4","G7","115000","08-03-15"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3035","3"," ","G7","443 EAST 178 STREET                      ","            ","10457","0","0","0","1300","0","0","4","G7","0","12-18-15"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3035","4"," ","G7","N/A EAST 178 STREET                      ","            ","10457","0","0","0","1299","0","0","4","G7","0","12-18-15"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3035","60"," ","G7","N/A EAST 178 STREET                      ","            ","10457","0","0","0","1299","0","0","4","G7","0","12-18-15"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3035","61"," ","G7","449 EAST 178 STREET                      ","            ","10457","0","0","0","1287","0","0","4","G7","0","12-18-15"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3036","30"," ","G7","454 EAST 180 STREET                      ","            ","10457","0","0","0","3448","0","0","4","G7","600000","11-02-15"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3036","31"," ","G7","456 EAST 180 STREET                      ","            ","10457","0","0","0","5533","0","0","4","G7","0","11-02-15"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3039","37"," ","G6","453 EAST 184 STREET                      ","            ","10458","0","0","0","5000","0","0","4","G6","0","08-18-15"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3039","37"," ","G6","453 EAST 184 STREET                      ","            ","10458","0","0","0","5000","0","0","4","G6","100000","07-01-15"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3045","25"," ","G7","2086 BATHGATE AVENUE                     ","            ","10457","0","0","0","1163","0","0","4","G7","125000","10-29-15"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3045","26"," ","G7","2088 BATHGATE AVENUE                     ","            ","10457","0","0","0","1139","0","0","4","G7","0","10-29-15"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3045","44"," ","GU","4329 3 AVENUE                            ","            ","10457","0","1","1","9936","2250","1989","4","GU","0","01-28-16"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3048","14"," ","G7","2176 BATHGATE AVENUE                     ","            ","10457","0","0","0","5530","0","0","4","G7","400000","02-03-16"
"2","BATHGATE                 ","29  COMMERCIAL GARAGES                      ","4","3051","23"," ","G7","3 AVENUE                                 ","            ","10457","0","0","0","0","0","0","4","G7","0","03-30-16"
"2","BATHGATE                 ","30  WAREHOUSES                              ","4","2907","6"," ","E1","4044-4046 PARK AVENUE                    ","            ","10457","0","1","1","7500","12430","1925","4","E1","0","12-04-15"
"2","BATHGATE                 ","30  WAREHOUSES                              ","4","2907","63"," ","E1","453 EAST 174 STREET                      ","            ","10457","0","1","1","5029","5000","1954","4","E1","0","12-04-15"
"2","BATHGATE                 ","30  WAREHOUSES                              ","4","2908","37"," ","E1","1827 WASHINGTON AVENUE                   ","            ","10457","0","1","1","12487","11750","1989","4","E1","1900000","04-08-16"
"2","BATHGATE                 ","31  COMMERCIAL VACANT LAND                  ","4","2900","28"," ","V1","4145 PARK AVENUE                         ","            ","10457","0","0","0","2000","0","0","4","V1","1000","04-29-16"
"2","BATHGATE                 ","31  COMMERCIAL VACANT LAND                  ","4","2900","28"," ","V1","4145 PARK AVENUE                         ","            ","10457","0","0","0","2000","0","0","4","V1","75000","04-29-16"
"2","BATHGATE                 ","31  COMMERCIAL VACANT LAND                  ","4","3027","1"," ","V1","4215 PARK AVENUE                         ","            ","10457","0","12","12","58771","0","1943","4","V1","6927600","12-22-15"
"2","BATHGATE                 ","31  COMMERCIAL VACANT LAND                  ","4","3028","13"," ","V9","WEBSTER AVENUE                           ","            ","0","0","0","0","5945","0","0","4","V9","813897","05-19-16"
"2","BATHGATE                 ","31  COMMERCIAL VACANT LAND                  ","4","3034","23"," ","V1","448 EAST 178 STREET                      ","            ","10457","0","0","0","2598","0","0","4","V1","0","12-18-15"
"2","BATHGATE                 ","31  COMMERCIAL VACANT LAND                  ","4","3034","24"," ","V1","N/A EAST 178 STREET                      ","            ","10457","0","0","0","3240","0","0","4","V1","0","12-18-15"
"2","BATHGATE                 ","31  COMMERCIAL VACANT LAND                  ","4","3043","46"," ","V1","1904 BATHGATE AVENUE                     ","            ","10457","0","0","0","2115","0","0","4","V1","0","08-03-15"
"2","BATHGATE                 ","31  COMMERCIAL VACANT LAND                  ","4","3051","26"," ","V1","536 EAST 183 STREET                      ","            ","10458","0","0","0","3807","0","0","4","V1","400000","07-30-15"
"2","BATHGATE                 ","32  HOSPITAL AND HEALTH FACILITIES          ","4","3051","45"," ","I5","4487 3 AVENUE                            ","            ","10457","0","1","1","19980","67815","1999","4","I5","0","10-19-15"
"2","BATHGATE                 ","32  HOSPITAL AND HEALTH FACILITIES          ","4","3053","78"," ","I9","2342 WASHINGTON AVENUE                   ","            ","10458","103","0","103","5607","17605","1931","4","I9","2600000","01-19-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4707","20"," ","A5","1139 EAST 212TH STREET                   ","            ","10469","1","0","1","3203","1890","1945","1","A5","365000","03-15-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4709","50"," ","A5","1142 EAST 215 STREET                     ","            ","10469","1","0","1","1710","1732","1945","1","A5","393000","03-22-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4709","150"," ","A5","1146 E. 215TH STREET                     ","            ","10469","1","0","1","1710","1732","1945","1","A5","386900","08-31-15"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4711","99"," ","A5","1315 HICKS STREET                        ","            ","10469","1","0","1","1710","1701","1950","1","A5","330000","11-04-15"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4723","5"," ","A2","3479 MICKLE AVENUE                       ","            ","10469","1","0","1","1918","1024","1945","1","A2","556247","06-06-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4723","6"," ","A2","3477 MICKLE AVE                          ","            ","10469","1","0","1","1918","1024","1945","1","A2","328570","05-05-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4723","6"," ","A2","3477 MICKLE AVENUE                       ","            ","10469","1","0","1","1918","1024","1945","1","A2","156750","11-16-15"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4724","6"," ","A2","3487 KINGSLAND AVENUE                    ","            ","10469","1","0","1","2288","1480","1925","1","A2","330000","10-20-15"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4728","106"," ","A5","3416 KINGSLAND AVENUE                    ","            ","10469","1","0","1","1740","1224","1960","1","A5","433000","04-05-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4730","15"," ","A2","3427 WICKHAM AVENUE                      ","            ","10469","1","0","1","2375","2565","1920","1","A2","415000","04-27-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4730","24"," ","A2","3411 WICKHAM AVENUE                      ","            ","10469","1","0","1","4750","2046","1899","1","A2","0","03-31-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4733","14"," ","A5","3341 BOUCK AVENUE                        ","            ","10469","1","0","1","1900","1681","1940","1","A5","385000","12-21-15"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4733","16"," ","A5","3337 BOUCK AVENUE                        ","            ","10469","1","0","1","1900","1681","1940","1","A5","0","06-15-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4733","17"," ","A5","3335 BOUCK AVENUE                        ","            ","10469","1","0","1","1900","1567","1940","1","A5","194688","01-28-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4734","73"," ","A5","1276 GIVAN AVENUE                        ","            ","10469","1","0","1","1728","1920","1955","1","A5","110000","03-18-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4735","83"," ","S1","3304 WILSON AVENUE                       ","            ","10469","1","1","2","2208","2430","1930","1","S1","320000","10-20-15"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4736","42"," ","A5","3310 FISH AVENUE                         ","            ","10469","1","0","1","1800","1690","1935","1","A5","343000","02-08-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4740","51"," ","A5","3244 FISH AVENUE                         ","            ","10469","1","0","1","2500","1736","1935","1","A5","467500","08-13-15"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4741","25"," ","A5","3215 FENTON AVENUE                       ","            ","10469","1","0","1","2050","1328","1920","1","A5","0","03-23-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4741","26"," ","A5","3213 FENTON AVENUE                       ","            ","10469","1","0","1","2050","1280","1920","1","A5","0","08-05-15"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4742","5"," ","A5","3257 CORSA AVENUE                        ","            ","10469","1","0","1","1800","1260","1950","1","A5","0","01-26-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4742","14"," ","A5","3239 CORSA AVENUE                        ","            ","10469","1","0","1","2300","1260","1950","1","A5","310000","02-01-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4743","129"," ","A5","3307 EASTCHESTER ROAD                    ","            ","10469","1","0","1","1800","1633","1950","1","A5","298700","10-26-15"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4745","35"," ","A1","1603 GIVAN AVENUE                        ","            ","10469","1","0","1","2774","1378","1920","1","A1","110000","07-23-15"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4747","20"," ","A5","3235 MICKLE AVENUE                       ","            ","10469","1","0","1","1710","1759","1955","1","A5","358000","04-25-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4749","60"," ","A5","3340 KINGSLAND AVENUE                    ","            ","10469","1","0","1","2375","1960","1955","1","A5","345000","11-06-15"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4750","24"," ","A5","3327 GUNTHER AVENUE                      ","            ","10469","1","0","1","1710","1539","1950","1","A5","340000","02-22-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4750","36"," ","A5","3303 GUNTHER AVENUE                      ","            ","10469","1","0","1","1710","1890","1950","1","A5","266600","02-02-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4750","50"," ","A5","3322 TIEMANN AVENUE                      ","            ","10469","1","0","1","1710","1539","1950","1","A5","0","02-18-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4751","1"," ","A9","3354 GUNTHER AVENUE                      ","            ","10469","1","0","1","2997","948","1960","1","A9","335000","08-14-15"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4766","19"," ","A5","3025A MICKLE AVENUE                      ","            ","10469","1","0","1","3125","1904","1975","1","A5","10","05-15-16"
"2","BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1","4766","24"," ","A1","3017 MICKLE AVE                          ","            ","10469","1","0","1","3127","1224","1935","1","A1","269583","08-21-15"
